,OBJECTID,NAME,X,Y,Parish,Community,Buil_Value,Occupancy,Roof_type,Roof_shape,Constr_typ,Area,class,exposed,geom_id
1291,17971,,-61.3869,15.2978,St._Luke,Roseau,372485.0,Commercial,Galvanized,V shape,Wood,447.429,1.0,100.0,17971
1292,17972,,-61.3869,15.2976,St._Luke,Roseau,31767.3,Residential,Galvanized,V shape,Concrete,113.313,1.0,100.0,17972
1293,17973,,-61.387,15.2976,St._Luke,Roseau,40286.6,Residential,Galvanized,V shape,Concrete,86.2206,1.0,100.0,17973
1294,17974,La_Flamboyant_Hotel,-61.3867,15.2975,St._Luke,Roseau,165487.0,Commercial,Galvanized,V shape,Concrete,198.783,1.0,100.0,17974
1295,17981,,-61.3872,15.2978,St._Luke,Roseau,61064.2,Residential,Concrete,Flat shape,Concrete,217.814,1.0,100.0,17981
1296,17982,,-61.3883,15.2988,St._Luke,Roseau,315431.0,Commercial,Galvanized,V shape,Wood,757.792,1.0,100.0,17982
1297,17984,,-61.3881,15.2989,St._Luke,Roseau,36168.2,Residential,Galvanized,V shape,Concrete,129.011,1.0,100.0,17984
1298,17985,,-61.3885,15.2988,St._Luke,Roseau,36240.0,Residential,Galvanized,Bell shape,Concrete,77.5601,1.0,100.0,17985
1299,17986,,-61.3886,15.2989,St._Luke,Roseau,32054.7,Residential,Galvanized,V shape,Concrete,114.338,1.0,100.0,17986
1300,17988,,-61.3884,15.2992,St._Luke,Roseau,39258.3,Residential,Galvanized,V shape,Concrete,84.0199,1.0,100.0,17988
1301,17989,,-61.3885,15.2991,St._Luke,Roseau,32816.9,Residential,Galvanized,V shape,Concrete,117.057,1.0,100.0,17989
1302,18019,,-61.4284,15.4217,St._Joseph,St. Joseph Village,41235.4,Residential,Galvanized,V shape,Concrete,145.451,1.0,100.0,18019
1303,18020,,-61.4283,15.4213,St._Joseph,St. Joseph Village,252988.0,Commercial,Concrete,Flat shape,Concrete,301.715,1.0,100.0,18020
1304,18024,,-61.4278,15.4214,St._Joseph,St. Joseph Village,33055.0,Residential,Galvanized,V shape,Concrete,116.596,1.0,100.0,18024
1305,18113,,-61.3907,15.3342,St._Paul,Canefield & Morne Daniel,95687.1,Commercial,Concrete,Flat shape,Concrete,744.792,1.0,100.0,18113
1306,18114,,-61.3911,15.3343,St._Paul,Canefield & Morne Daniel,103684.0,Commercial,Concrete,Flat shape,Concrete,403.518,1.0,100.0,18114
1307,18132,,-61.3705,15.2755,St._George,Loubiere & Fond Baron,20713.3,Residential,Galvanized,V shape,Concrete,120.077,1.0,100.0,18132
1308,18133,,-61.3699,15.2758,St._George,Loubiere & Fond Baron,25386.7,Residential,Galvanized,V shape,Concrete,88.3015,1.0,100.0,18133
1309,18134,,-61.37,15.2758,St._George,Loubiere & Fond Baron,24574.9,Residential,Galvanized,V shape,Concrete,85.4777,1.0,100.0,18134
1310,18136,,-61.3702,15.2758,St._George,Loubiere & Fond Baron,23840.5,Residential,Galvanized,V shape,Concrete,82.9235,1.0,100.0,18136
1311,18139,,-61.3707,15.2757,St._George,Loubiere & Fond Baron,28731.4,Residential,Galvanized,V shape,Concrete,99.9352,1.0,100.0,18139
1312,18140,,-61.3708,15.2757,St._George,Loubiere & Fond Baron,17442.9,Residential,Galvanized,V shape,Concrete,101.118,1.0,100.0,18140
1313,18141,,-61.371,15.2758,St._George,Loubiere & Fond Baron,25251.9,Residential,Galvanized,V shape,Concrete,146.388,1.0,100.0,18141
1314,18143,,-61.3712,15.2759,St._George,Loubiere & Fond Baron,83834.9,Commercial,Concrete,Flat shape,Concrete,230.95,1.0,100.0,18143
1315,18144,,-61.3713,15.2759,St._George,Loubiere & Fond Baron,125675.0,Commercial,Concrete,Flat shape,Concrete,346.212,1.0,100.0,18144
1316,18145,,-61.3715,15.2758,St._George,Loubiere & Fond Baron,26038.4,Residential,Galvanized,V shape,Concrete,90.568,1.0,100.0,18145
1317,18146,,-61.3717,15.2758,St._George,Loubiere & Fond Baron,73632.4,Commercial,Concrete,Flat shape,Concrete,202.844,1.0,100.0,18146
1318,18162,,-61.3719,15.2758,St._George,Loubiere & Fond Baron,84097.3,Commercial,Concrete,Flat shape,Concrete,231.673,1.0,100.0,18162
1319,18163,,-61.3721,15.2758,St._George,Loubiere & Fond Baron,24813.6,Residential,Galvanized,V shape,Concrete,143.847,1.0,100.0,18163
1320,18167,,-61.3702,15.2788,St._George,Wall House & Castle Comfort S,71757.3,Residential,Concrete,Flat shape,Concrete,225.652,1.0,100.0,18167
1321,18184,Bello's,-61.375,15.2841,St._George,Wall House & Castle Comfort S,567064.0,Commercial,Galvanized,V shape,Wood,1369.72,1.0,100.0,18184
1322,18234,,-61.3717,15.2783,St._George,Wall House & Castle Comfort S,50692.7,Residential,Galvanized,V shape,Concrete,159.411,1.0,100.0,18234
1323,18235,,-61.372,15.2782,St._George,Wall House & Castle Comfort S,49924.4,Residential,Galvanized,V shape,Concrete,156.995,1.0,100.0,18235
1324,18237,,-61.3718,15.278,St._George,Wall House & Castle Comfort S,48327.4,Residential,Galvanized,V shape,Concrete,151.973,1.0,100.0,18237
1325,18238,,-61.3725,15.2781,St._George,Wall House & Castle Comfort S,83559.0,Residential,Concrete,Flat shape,Concrete,262.764,1.0,100.0,18238
1326,18239,,-61.3727,15.278,St._George,Wall House & Castle Comfort S,73988.4,Residential,Concrete,Flat shape,Concrete,232.668,1.0,100.0,18239
1327,18240,,-61.3728,15.278,St._George,Wall House & Castle Comfort S,55034.0,Residential,Galvanized,V shape,Concrete,173.063,1.0,100.0,18240
1328,18243,Paramount_Printers,-61.3737,15.2783,St._George,Wall House & Castle Comfort S,422863.0,Commercial,Concrete,Flat shape,Concrete,510.704,1.0,100.0,18243
1329,18297,,-61.3736,15.2756,St._George,Loubiere & Fond Baron,77611.6,Commercial,Concrete,Flat shape,Concrete,213.806,1.0,100.0,18297
1330,18298,,-61.3735,15.2756,St._George,Loubiere & Fond Baron,74857.5,Commercial,Concrete,Flat shape,Concrete,206.219,1.0,100.0,18298
1331,18308,,-61.3745,15.2779,St._George,Wall House & Castle Comfort S,128198.0,Residential,Galvanized,V shape,Concrete,92.8965,1.0,100.0,18308
1332,18309,,-61.3741,15.2779,St._George,Wall House & Castle Comfort S,169651.0,Commercial,Concrete,Flat shape,Concrete,204.893,1.0,100.0,18309
1333,18311,,-61.3741,15.278,St._George,Wall House & Castle Comfort S,137283.0,Commercial,Galvanized,V shape,Concrete,165.801,1.0,100.0,18311
1334,18313,,-61.3742,15.2779,St._George,Wall House & Castle Comfort S,38056.0,Residential,Galvanized,V shape,Wood,27.5768,1.0,100.0,18313
1335,18439,,-61.3738,15.2754,St._George,Loubiere & Fond Baron,53875.0,Residential,Galvanized,V shape,Concrete,148.416,1.0,100.0,18439
1336,18442,,-61.3739,15.2757,St._George,Loubiere & Fond Baron,67071.5,Commercial,Galvanized,V shape,Concrete,184.77,1.0,100.0,18442
1337,18461,,-61.3969,15.3609,St._Paul,Mahaut,13138.6,Residential,Galvanized,V shape,Concrete,119.333,1.0,100.0,18461
1338,18481,,-61.3961,15.3612,St._Paul,Mahaut,15610.0,Residential,Galvanized,V shape,Concrete,141.78,1.0,100.0,18481
1339,18484,,-61.3917,15.3478,St._Paul,Massacre & Checkhall,35351.3,Residential,Galvanized,V shape,Concrete,90.6444,1.0,100.0,18484
1340,18496,,-61.3969,15.3607,St._Paul,Mahaut,17676.3,Residential,Galvanized,V shape,Concrete,96.3288,1.0,100.0,18496
1341,18504,,-61.3972,15.3623,St._Paul,Mahaut,10770.1,Residential,Galvanized,Bell shape,Concrete,58.6924,1.0,100.0,18504
1342,18510,Mahaut Market,-61.3966,15.361,St._Paul,Mahaut,96549.8,Commercial,Concrete,Flat shape,Concrete,323.125,1.0,100.0,18510
1343,18528,,-61.3965,15.3628,St._Paul,Mahaut,13214.2,Residential,Galvanized,V shape,Concrete,120.02,1.0,100.0,18528
1344,18540,,-61.3957,15.3617,St._Paul,Mahaut,11944.1,Residential,Galvanized,Bell shape,Concrete,65.0907,1.0,100.0,18540
1345,18574,,-61.3934,15.3539,St._Paul,Massacre & Checkhall,38369.9,Residential,Galvanized,V shape,Concrete,98.3844,1.0,100.0,18574
1346,18575,,-61.396,15.3613,St._Paul,Mahaut,16848.4,Residential,Galvanized,V shape,Concrete,153.028,1.0,100.0,18575
1347,18605,,-61.3965,15.3627,St._Paul,Mahaut,13951.4,Residential,Galvanized,V shape,Concrete,126.716,1.0,100.0,18605
